reviewer,rating,written_date,branch
Mythreyi,5,14-Feb-17,Universal Studios Singapore
faizalalwani,2,14-Feb-17,Universal Studios Singapore
abdulrahman542,4,14-Feb-17,Universal Studios Singapore
Andrew H,5,14-Feb-17,Universal Studios Singapore
bruce r,4,14-Feb-17,Universal Studios Singapore
Umesh Pherwani,5,14-Feb-17,Universal Studios Singapore
Niyo,5,14-Feb-17,Universal Studios Singapore
CheshireSupermum,4,14-Feb-17,Universal Studios Singapore
Duff383,5,13-Feb-17,Universal Studios Singapore
AhSiong25,4,13-Feb-17,Universal Studios Singapore
Aybee RC,4,13-Feb-17,Universal Studios Singapore
tracyjocye1991,4,13-Feb-17,Universal Studios Singapore
Kumaran M,5,12-Feb-17,Universal Studios Singapore
Asanka M,5,12-Feb-17,Universal Studios Singapore
Ms_Michaela,3,12-Feb-17,Universal Studios Singapore
Minoli W,4,12-Feb-17,Universal Studios Singapore
pspillai,5,11-Feb-17,Universal Studios Singapore
vandylim,1,11-Feb-17,Universal Studios Singapore
Bong Karno,5,11-Feb-17,Universal Studios Singapore
Antonio A,5,10-Feb-17,Universal Studios Singapore
FJ03,5,9-Feb-17,Universal Studios Singapore
vidhu s,5,9-Feb-17,Universal Studios Singapore
loveyouruss,5,9-Feb-17,Universal Studios Singapore
Carole H,5,8-Feb-17,Universal Studios Singapore
Travel-Cruise-Live,5,8-Feb-17,Universal Studios Singapore
shruti2017,4,8-Feb-17,Universal Studios Singapore
Bharat S,5,8-Feb-17,Universal Studios Singapore
Wasantha D,4,7-Feb-17,Universal Studios Singapore
tamonnx,4,7-Feb-17,Universal Studios Singapore
Andra,4,6-Feb-17,Universal Studios Singapore
TheHumbleTourist,3,6-Feb-17,Universal Studios Singapore
KarmaTempa,5,6-Feb-17,Universal Studios Singapore
PPR P,5,5-Feb-17,Universal Studios Singapore
Steve C,5,5-Feb-17,Universal Studios Singapore
Yogesh0304,4,5-Feb-17,Universal Studios Singapore
gauravjalan,5,5-Feb-17,Universal Studios Singapore
Peter B,3,4-Feb-17,Universal Studios Singapore
ila a,2,4-Feb-17,Universal Studios Singapore
BuckeyeAndy,4,4-Feb-17,Universal Studios Singapore
yssunil,3,4-Feb-17,Universal Studios Singapore
nishantsatyamm,5,4-Feb-17,Universal Studios Singapore
Jason C,4,4-Feb-17,Universal Studios Singapore
thehopster,4,3-Feb-17,Universal Studios Singapore
Prittravel1,5,3-Feb-17,Universal Studios Singapore
Lauren P,4,3-Feb-17,Universal Studios Singapore
491harshits,4,3-Feb-17,Universal Studios Singapore
Solomon L,5,2-Feb-17,Universal Studios Singapore
Anon Z,5,2-Feb-17,Universal Studios Singapore
adithyaanuroop,5,2-Feb-17,Universal Studios Singapore
Meidha A,4,2-Feb-17,Universal Studios Singapore
Mandie B,5,2-Feb-17,Universal Studios Singapore
The Real Single Mum,5,2-Feb-17,Universal Studios Singapore
Khalid A,5,1-Feb-17,Universal Studios Singapore
DANAH,5,1-Feb-17,Universal Studios Singapore
Happy,4,1-Feb-17,Universal Studios Singapore
m r,3,1-Feb-17,Universal Studios Singapore
Jenu,5,1-Feb-17,Universal Studios Singapore
Tessa H,4,31-Jan-17,Universal Studios Singapore
Jess N,4,31-Jan-17,Universal Studios Singapore
Leif Y,5,31-Jan-17,Universal Studios Singapore
Mohamed_Abdelbary,5,31-Jan-17,Universal Studios Singapore
gcrleigh,5,30-Jan-17,Universal Studios Singapore
NikandKook,5,30-Jan-17,Universal Studios Singapore
csashurst,3,30-Jan-17,Universal Studios Singapore
Suraj Sonkhare,5,30-Jan-17,Universal Studios Singapore
rikin90,5,30-Jan-17,Universal Studios Singapore
LCAS1,5,29-Jan-17,Universal Studios Singapore
Prathna T,3,29-Jan-17,Universal Studios Singapore
Shane S,4,29-Jan-17,Universal Studios Singapore
Lee8811,5,29-Jan-17,Universal Studios Singapore
Expatinozz,4,29-Jan-17,Universal Studios Singapore
Prof587,5,29-Jan-17,Universal Studios Singapore
Aoon Mujtaba,5,29-Jan-17,Universal Studios Singapore
Payal C,5,29-Jan-17,Universal Studios Singapore
Tim D,5,28-Jan-17,Universal Studios Singapore
Heather M,4,28-Jan-17,Universal Studios Singapore
758muditj,5,28-Jan-17,Universal Studios Singapore
Audrey W,4,28-Jan-17,Universal Studios Singapore
praveen,5,28-Jan-17,Universal Studios Singapore
Rex W,5,28-Jan-17,Universal Studios Singapore
Ian W,1,27-Jan-17,Universal Studios Singapore
Edward C,4,27-Jan-17,Universal Studios Singapore
Mittsngloves,4,27-Jan-17,Universal Studios Singapore
jainneha,5,27-Jan-17,Universal Studios Singapore
amitsinghal1986,5,27-Jan-17,Universal Studios Singapore
LorrainePowell,4,27-Jan-17,Universal Studios Singapore
Sunita G,5,27-Jan-17,Universal Studios Singapore
SydneyJai,3,26-Jan-17,Universal Studios Singapore
Tracey J,3,26-Jan-17,Universal Studios Singapore
Adam P,3,26-Jan-17,Universal Studios Singapore
kevin b,5,25-Jan-17,Universal Studios Singapore
PANTHER029,4,25-Jan-17,Universal Studios Singapore
ysn019,4,25-Jan-17,Universal Studios Singapore
Twentyeight_Lim0,5,25-Jan-17,Universal Studios Singapore
Yan,5,24-Jan-17,Universal Studios Singapore
Mary M,5,24-Jan-17,Universal Studios Singapore
New_albion45,5,24-Jan-17,Universal Studios Singapore
Adam_Murrray,3,24-Jan-17,Universal Studios Singapore
bobita saikia,5,24-Jan-17,Universal Studios Singapore
AshishLondon,5,24-Jan-17,Universal Studios Singapore
Amanda W,5,24-Jan-17,Universal Studios Singapore
WanderingEric,4,24-Jan-17,Universal Studios Singapore
DonJYLoveToTravel,5,23-Jan-17,Universal Studios Singapore
blackberry_13,5,23-Jan-17,Universal Studios Singapore
Terence1983,5,23-Jan-17,Universal Studios Singapore
216aidaa,5,22-Jan-17,Universal Studios Singapore
Hanizah H,3,22-Jan-17,Universal Studios Singapore
wickedpinni,5,22-Jan-17,Universal Studios Singapore
Mel R,2,22-Jan-17,Universal Studios Singapore
stephen m,4,22-Jan-17,Universal Studios Singapore
Lee H,4,22-Jan-17,Universal Studios Singapore
Oren F,5,21-Jan-17,Universal Studios Singapore
Purvi K,5,21-Jan-17,Universal Studios Singapore
Rod4fun,5,21-Jan-17,Universal Studios Singapore
mohd_shah,5,21-Jan-17,Universal Studios Singapore
Dilip G,5,21-Jan-17,Universal Studios Singapore
Adrian G,4,20-Jan-17,Universal Studios Singapore
Dewidar,5,19-Jan-17,Universal Studios Singapore
Otto N,5,19-Jan-17,Universal Studios Singapore
MrP78_11,4,19-Jan-17,Universal Studios Singapore
Jase W,5,19-Jan-17,Universal Studios Singapore
Ceceliaah,4,19-Jan-17,Universal Studios Singapore
VedantVyas01,5,19-Jan-17,Universal Studios Singapore
Himesh P,5,18-Jan-17,Universal Studios Singapore
Kleiser,4,18-Jan-17,Universal Studios Singapore
archil a,5,17-Jan-17,Universal Studios Singapore
Trish N,2,17-Jan-17,Universal Studios Singapore
ranm262,5,17-Jan-17,Universal Studios Singapore
41Rebecca,1,17-Jan-17,Universal Studios Singapore
Smiley101,5,17-Jan-17,Universal Studios Singapore
Loveetha,5,17-Jan-17,Universal Studios Singapore
RoAmateur,5,17-Jan-17,Universal Studios Singapore
Beverleyhf,3,17-Jan-17,Universal Studios Singapore
Ahsan,5,17-Jan-17,Universal Studios Singapore
Manish G,4,17-Jan-17,Universal Studios Singapore
Fidy B,5,17-Jan-17,Universal Studios Singapore
david b,4,16-Jan-17,Universal Studios Singapore
Adarsh G,4,16-Jan-17,Universal Studios Singapore
Alicia S,5,16-Jan-17,Universal Studios Singapore
Marilyn N,4,16-Jan-17,Universal Studios Singapore
TinaB2202,3,16-Jan-17,Universal Studios Singapore
Toby B.,5,16-Jan-17,Universal Studios Singapore
Deanne D,5,16-Jan-17,Universal Studios Singapore
PappanMajumdar,4,16-Jan-17,Universal Studios Singapore
Cjrob1971,4,16-Jan-17,Universal Studios Singapore
BobBell84,5,15-Jan-17,Universal Studios Singapore
Agungsbatu,5,15-Jan-17,Universal Studios Singapore
saschastreule,5,15-Jan-17,Universal Studios Singapore
Reymond,5,14-Jan-17,Universal Studios Singapore
Jacinta S,5,14-Jan-17,Universal Studios Singapore
BlueAnto,4,14-Jan-17,Universal Studios Singapore
DurgeshMani,5,14-Jan-17,Universal Studios Singapore
Ethan R,4,13-Jan-17,Universal Studios Singapore
Rici R,5,13-Jan-17,Universal Studios Singapore
Andreas S,5,13-Jan-17,Universal Studios Singapore
S J,4,13-Jan-17,Universal Studios Singapore
Sean S,5,13-Jan-17,Universal Studios Singapore
InterMMiami,5,12-Jan-17,Universal Studios Singapore
yasmin2004ali,5,12-Jan-17,Universal Studios Singapore
AusGypsie,3,12-Jan-17,Universal Studios Singapore
KMeowington,5,11-Jan-17,Universal Studios Singapore
Pete E,4,11-Jan-17,Universal Studios Singapore
Prashen F,5,11-Jan-17,Universal Studios Singapore
Eemary,3,11-Jan-17,Universal Studios Singapore
Imakelv,5,11-Jan-17,Universal Studios Singapore
Lpool94,4,11-Jan-17,Universal Studios Singapore
Frankie748,4,11-Jan-17,Universal Studios Singapore
khuzaimi2015,4,11-Jan-17,Universal Studios Singapore
nads075,4,11-Jan-17,Universal Studios Singapore
moju72,4,11-Jan-17,Universal Studios Singapore
Taimoor Iqbal,5,10-Jan-17,Universal Studios Singapore
Capt Jelle d,5,10-Jan-17,Universal Studios Singapore
hugoawe,4,10-Jan-17,Universal Studios Singapore
Michael H,4,10-Jan-17,Universal Studios Singapore
kavs1101,4,10-Jan-17,Universal Studios Singapore
DaveWombat,3,10-Jan-17,Universal Studios Singapore
Roma_Dominguez,5,10-Jan-17,Universal Studios Singapore
AdamSimmo,5,10-Jan-17,Universal Studios Singapore
Kikka1931,5,10-Jan-17,Universal Studios Singapore
Markdjscott,5,9-Jan-17,Universal Studios Singapore
rdyhry,3,9-Jan-17,Universal Studios Singapore
Dharmesh,4,9-Jan-17,Universal Studios Singapore
Simky73,4,9-Jan-17,Universal Studios Singapore
AthinaIke,5,9-Jan-17,Universal Studios Singapore
keentraveller27,5,8-Jan-17,Universal Studios Singapore
K L,4,8-Jan-17,Universal Studios Singapore
Janice T,5,8-Jan-17,Universal Studios Singapore
UmmAbdullahAH,5,8-Jan-17,Universal Studios Singapore
Justin9127,5,8-Jan-17,Universal Studios Singapore
Pradipta D,5,8-Jan-17,Universal Studios Singapore
Naufal X,5,8-Jan-17,Universal Studios Singapore
mafazalhujairy,4,8-Jan-17,Universal Studios Singapore
Paul M,4,8-Jan-17,Universal Studios Singapore
Shaily S,5,8-Jan-17,Universal Studios Singapore
leemichell,4,7-Jan-17,Universal Studios Singapore
Josephina F,5,7-Jan-17,Universal Studios Singapore
Pjacobvarghese,5,7-Jan-17,Universal Studios Singapore
Jonesy1974,4,7-Jan-17,Universal Studios Singapore
Manisha S,2,6-Jan-17,Universal Studios Singapore
jeff m,5,6-Jan-17,Universal Studios Singapore
OVeeh H,5,6-Jan-17,Universal Studios Singapore
53brinda,5,6-Jan-17,Universal Studios Singapore
Serena Y,3,6-Jan-17,Universal Studios Singapore
Erin,5,5-Jan-17,Universal Studios Singapore
ezepeter,4,5-Jan-17,Universal Studios Singapore
RivadÃ¡via C Drummond Alvarenga Neto,5,5-Jan-17,Universal Studios Singapore
Kaitesi M,5,5-Jan-17,Universal Studios Singapore
Nadim N,5,5-Jan-17,Universal Studios Singapore
FengXueSG,5,5-Jan-17,Universal Studios Singapore
Ingy13,5,5-Jan-17,Universal Studios Singapore
Murphy1993,5,5-Jan-17,Universal Studios Singapore
Gautham_Srinivas,5,5-Jan-17,Universal Studios Singapore
Amr E,5,4-Jan-17,Universal Studios Singapore
Rameswr Sambari,4,4-Jan-17,Universal Studios Singapore
1789jkrta,5,4-Jan-17,Universal Studios Singapore
Flippag,5,4-Jan-17,Universal Studios Singapore
Chantal C,4,4-Jan-17,Universal Studios Singapore
Stephen P,4,4-Jan-17,Universal Studios Singapore
Thejuddos,2,4-Jan-17,Universal Studios Singapore
Sugu2014,5,4-Jan-17,Universal Studios Singapore
Prayank M,5,4-Jan-17,Universal Studios Singapore
Firenze4074,5,4-Jan-17,Universal Studios Singapore
taimoorsalmanzahid,4,3-Jan-17,Universal Studios Singapore
Mehar C,5,3-Jan-17,Universal Studios Singapore
Crowey_12,4,3-Jan-17,Universal Studios Singapore
horses12014,3,3-Jan-17,Universal Studios Singapore
dijisree,5,3-Jan-17,Universal Studios Singapore
Raudhah A,3,3-Jan-17,Universal Studios Singapore
smg38,5,3-Jan-17,Universal Studios Singapore
KT_Nguyen92,4,3-Jan-17,Universal Studios Singapore
mg_vadodara,5,3-Jan-17,Universal Studios Singapore
shirah75,4,3-Jan-17,Universal Studios Singapore
Ian W,5,2-Jan-17,Universal Studios Singapore
wander-rover21,4,2-Jan-17,Universal Studios Singapore
Kaya N,5,2-Jan-17,Universal Studios Singapore
kareem21,4,2-Jan-17,Universal Studios Singapore
ZoranStankovic,2,2-Jan-17,Universal Studios Singapore
Jason M,3,2-Jan-17,Universal Studios Singapore
Melisa K,5,2-Jan-17,Universal Studios Singapore
Sue C,5,2-Jan-17,Universal Studios Singapore
Marie T,4,2-Jan-17,Universal Studios Singapore
Kane H,5,1-Jan-17,Universal Studios Singapore
Auds M,4,1-Jan-17,Universal Studios Singapore
Ryan C,4,1-Jan-17,Universal Studios Singapore
Rizel B,5,1-Jan-17,Universal Studios Singapore
AklTraveler,4,1-Jan-17,Universal Studios Singapore
Bhupinder S,5,31-Dec-16,Universal Studios Singapore
Kpharathikoune,3,31-Dec-16,Universal Studios Singapore
KaiBoon,5,31-Dec-16,Universal Studios Singapore
Nupur Tewari,5,31-Dec-16,Universal Studios Singapore
amxsunshine,4,31-Dec-16,Universal Studios Singapore
melodyeexx,4,31-Dec-16,Universal Studios Singapore
CharenteMaritime,4,31-Dec-16,Universal Studios Singapore
ainaksan,2,31-Dec-16,Universal Studios Singapore
F Z,4,31-Dec-16,Universal Studios Singapore
Kapilsharma7439,4,31-Dec-16,Universal Studios Singapore
Sanjiv R,4,31-Dec-16,Universal Studios Singapore
Fiofaith,4,31-Dec-16,Universal Studios Singapore
Sandip G,4,31-Dec-16,Universal Studios Singapore
Paras S,4,30-Dec-16,Universal Studios Singapore
KellieMelbourne,4,30-Dec-16,Universal Studios Singapore
Su I,5,30-Dec-16,Universal Studios Singapore
BeFoodLover,1,30-Dec-16,Universal Studios Singapore
Seethu V,3,30-Dec-16,Universal Studios Singapore
Bimal Mehta,5,30-Dec-16,Universal Studios Singapore
42Phuket2010,5,30-Dec-16,Universal Studios Singapore
Lakshmi Narayanan S,5,30-Dec-16,Universal Studios Singapore
Its41day,5,30-Dec-16,Universal Studios Singapore
Tulika108,5,30-Dec-16,Universal Studios Singapore
Jo K,4,29-Dec-16,Universal Studios Singapore
Kuldeep R,5,29-Dec-16,Universal Studios Singapore
Oloi Shorua,5,29-Dec-16,Universal Studios Singapore
onelastfish,4,29-Dec-16,Universal Studios Singapore
ArchitSaini,5,29-Dec-16,Universal Studios Singapore
Smudge374,5,28-Dec-16,Universal Studios Singapore
dhe_mulyani,4,28-Dec-16,Universal Studios Singapore
Khaled K,4,28-Dec-16,Universal Studios Singapore
Teh Zaitun H,4,28-Dec-16,Universal Studios Singapore
NishantGuptaDr,5,28-Dec-16,Universal Studios Singapore
Shelley V,4,28-Dec-16,Universal Studios Singapore
Ronyra,4,28-Dec-16,Universal Studios Singapore
JulzDean,5,28-Dec-16,Universal Studios Singapore
EatAndRoam,5,28-Dec-16,Universal Studios Singapore
Smon R,4,28-Dec-16,Universal Studios Singapore
Anne L,4,28-Dec-16,Universal Studios Singapore
NKSharif,5,28-Dec-16,Universal Studios Singapore
CJT10,5,28-Dec-16,Universal Studios Singapore
swastika12,4,28-Dec-16,Universal Studios Singapore
Joe_Fuse,5,27-Dec-16,Universal Studios Singapore
Yoshitha Vidanagamage,4,27-Dec-16,Universal Studios Singapore
cubeli,3,27-Dec-16,Universal Studios Singapore
Robert T,5,27-Dec-16,Universal Studios Singapore
KD0701,5,27-Dec-16,Universal Studios Singapore
sumit_ma,5,27-Dec-16,Universal Studios Singapore
teikinn,3,26-Dec-16,Universal Studios Singapore
Tour670500,4,26-Dec-16,Universal Studios Singapore
Tay M,5,26-Dec-16,Universal Studios Singapore
Saud,5,26-Dec-16,Universal Studios Singapore
yuxuanxx,5,26-Dec-16,Universal Studios Singapore
Stenly T,1,26-Dec-16,Universal Studios Singapore
JGD1305,5,26-Dec-16,Universal Studios Singapore
messyk,5,26-Dec-16,Universal Studios Singapore
ShaveenKaushal,5,26-Dec-16,Universal Studios Singapore
Manish S,5,26-Dec-16,Universal Studios Singapore
Lawrence S,5,25-Dec-16,Universal Studios Singapore
tosents,4,25-Dec-16,Universal Studios Singapore
Ankit997,5,25-Dec-16,Universal Studios Singapore
deanmark11dm,5,24-Dec-16,Universal Studios Singapore
bluecramp,4,24-Dec-16,Universal Studios Singapore
Prabin1007,5,24-Dec-16,Universal Studios Singapore
theoysterking,1,24-Dec-16,Universal Studios Singapore
Idaiu,5,24-Dec-16,Universal Studios Singapore
Frederick F,4,24-Dec-16,Universal Studios Singapore
shirlcb,5,23-Dec-16,Universal Studios Singapore
jojowidodo,1,23-Dec-16,Universal Studios Singapore
muayad2014,3,23-Dec-16,Universal Studios Singapore
faithkohjiayin,5,23-Dec-16,Universal Studios Singapore
Hin99,2,22-Dec-16,Universal Studios Singapore
blairkk25,4,22-Dec-16,Universal Studios Singapore
Gert Ken G,4,22-Dec-16,Universal Studios Singapore
exploredaunexplored,5,22-Dec-16,Universal Studios Singapore
Kimmo S,5,22-Dec-16,Universal Studios Singapore
Sandy H,4,22-Dec-16,Universal Studios Singapore
dwolleba,3,22-Dec-16,Universal Studios Singapore
davidlamtraveller,5,22-Dec-16,Universal Studios Singapore
brian_98166,4,22-Dec-16,Universal Studios Singapore
Carmel R,5,22-Dec-16,Universal Studios Singapore
pappy3babes,5,21-Dec-16,Universal Studios Singapore
Andrewt77,4,21-Dec-16,Universal Studios Singapore
Ros-LR,4,21-Dec-16,Universal Studios Singapore
farcleo,5,21-Dec-16,Universal Studios Singapore
Dextron17,5,21-Dec-16,Universal Studios Singapore
Daniel Y,5,21-Dec-16,Universal Studios Singapore
TehFarahaini,5,21-Dec-16,Universal Studios Singapore
Vivi195,4,20-Dec-16,Universal Studios Singapore
JamesTanSL,4,20-Dec-16,Universal Studios Singapore
Stanick,5,20-Dec-16,Universal Studios Singapore
Goldfinger100,5,20-Dec-16,Universal Studios Singapore
Tiarna Georghiou,4,20-Dec-16,Universal Studios Singapore
BhawaniPathania,5,20-Dec-16,Universal Studios Singapore
DrVineetGGupta,5,20-Dec-16,Universal Studios Singapore
Sajan T,5,20-Dec-16,Universal Studios Singapore
Jo B,4,20-Dec-16,Universal Studios Singapore
Pwillholme,3,20-Dec-16,Universal Studios Singapore
azMan,4,20-Dec-16,Universal Studios Singapore
tds262015,4,20-Dec-16,Universal Studios Singapore
Jessica812823,5,20-Dec-16,Universal Studios Singapore
lurcher500,5,19-Dec-16,Universal Studios Singapore
AlyLow,5,19-Dec-16,Universal Studios Singapore
TCspeech,5,19-Dec-16,Universal Studios Singapore
laknath,5,19-Dec-16,Universal Studios Singapore
r1a2016,4,19-Dec-16,Universal Studios Singapore
Raymond Tan,5,19-Dec-16,Universal Studios Singapore
Khid,4,19-Dec-16,Universal Studios Singapore
Ross Kenneth P,5,19-Dec-16,Universal Studios Singapore
Frank Koh,5,19-Dec-16,Universal Studios Singapore
Jo B,4,19-Dec-16,Universal Studios Singapore
Lakhvinder G,4,18-Dec-16,Universal Studios Singapore
jyoti26,5,18-Dec-16,Universal Studios Singapore
GiDEZEL,4,18-Dec-16,Universal Studios Singapore
hhakim,5,18-Dec-16,Universal Studios Singapore
Multidrop G,5,18-Dec-16,Universal Studios Singapore
Luther Low,5,18-Dec-16,Universal Studios Singapore
ShobsT,5,18-Dec-16,Universal Studios Singapore
twolambs,4,18-Dec-16,Universal Studios Singapore
Ishaan R,5,17-Dec-16,Universal Studios Singapore
normanngjkt,1,17-Dec-16,Universal Studios Singapore
Dave P,5,17-Dec-16,Universal Studios Singapore
FreddieRedd,5,16-Dec-16,Universal Studios Singapore
Nitesh_NB,3,16-Dec-16,Universal Studios Singapore
Vanessa C,5,16-Dec-16,Universal Studios Singapore
usaginoko,4,15-Dec-16,Universal Studios Singapore
Virender S,5,15-Dec-16,Universal Studios Singapore
Bill E Pardude,4,15-Dec-16,Universal Studios Singapore
Shilpa_Lakhani,5,15-Dec-16,Universal Studios Singapore
Neeti,5,15-Dec-16,Universal Studios Singapore
Rendy Y,5,15-Dec-16,Universal Studios Singapore
Jassumms,5,14-Dec-16,Universal Studios Singapore
Maluh M,3,14-Dec-16,Universal Studios Singapore
rgunendran,4,14-Dec-16,Universal Studios Singapore
jackie21alturas,5,14-Dec-16,Universal Studios Singapore
Paul C,4,14-Dec-16,Universal Studios Singapore
andyros2014,4,14-Dec-16,Universal Studios Singapore
Nenden T,4,14-Dec-16,Universal Studios Singapore
rachma andini,5,14-Dec-16,Universal Studios Singapore
JayHabeeb,4,13-Dec-16,Universal Studios Singapore
Sarah M,5,13-Dec-16,Universal Studios Singapore
geo259,5,12-Dec-16,Universal Studios Singapore
Vanessa R,5,11-Dec-16,Universal Studios Singapore
William211,4,10-Dec-16,Universal Studios Singapore
primbonbon,5,10-Dec-16,Universal Studios Singapore
Merv3102,5,10-Dec-16,Universal Studios Singapore
Payal37,5,10-Dec-16,Universal Studios Singapore
Dhairyadalal,5,10-Dec-16,Universal Studios Singapore
Ahl I,5,9-Dec-16,Universal Studios Singapore
kimsuz,4,9-Dec-16,Universal Studios Singapore
Nerissa J,5,9-Dec-16,Universal Studios Singapore
samkitparikh,5,8-Dec-16,Universal Studios Singapore
Kuldeep S,5,8-Dec-16,Universal Studios Singapore
Lynn Chua,4,8-Dec-16,Universal Studios Singapore
Sachin Randive,5,8-Dec-16,Universal Studios Singapore
Tan T,5,8-Dec-16,Universal Studios Singapore
Ahmed N,4,8-Dec-16,Universal Studios Singapore
196JerryS,5,8-Dec-16,Universal Studios Singapore
Rohit Jain,5,8-Dec-16,Universal Studios Singapore
Sahar K,5,8-Dec-16,Universal Studios Singapore
Gaile I,5,8-Dec-16,Universal Studios Singapore
tralanh1712,5,7-Dec-16,Universal Studios Singapore
KSMJ,4,7-Dec-16,Universal Studios Singapore
Straittford-Miller,5,7-Dec-16,Universal Studios Singapore
Prashant S,5,7-Dec-16,Universal Studios Singapore
ASeet2015,5,7-Dec-16,Universal Studios Singapore
akuswara,4,7-Dec-16,Universal Studios Singapore
travellingMan1337,4,6-Dec-16,Universal Studios Singapore
Jordyn Q,5,6-Dec-16,Universal Studios Singapore
JoeBloggs75,4,6-Dec-16,Universal Studios Singapore
Amin,5,6-Dec-16,Universal Studios Singapore
bluebaby00,5,6-Dec-16,Universal Studios Singapore
merismer,4,6-Dec-16,Universal Studios Singapore
tanveerraval,5,6-Dec-16,Universal Studios Singapore
AaronAnilDass,4,6-Dec-16,Universal Studios Singapore
Shireen_Pereira,4,5-Dec-16,Universal Studios Singapore
danta83,4,5-Dec-16,Universal Studios Singapore
Skimsa,4,5-Dec-16,Universal Studios Singapore
guterman45,4,5-Dec-16,Universal Studios Singapore
Devieapriliani,5,5-Dec-16,Universal Studios Singapore
Lesley C,5,5-Dec-16,Universal Studios Singapore
HayaniH H,5,4-Dec-16,Universal Studios Singapore
513bernadettef,5,4-Dec-16,Universal Studios Singapore
Alex C,5,4-Dec-16,Universal Studios Singapore
Nirmit S,4,4-Dec-16,Universal Studios Singapore
msmandms,5,4-Dec-16,Universal Studios Singapore
Khaled A,5,4-Dec-16,Universal Studios Singapore
Debbie W,5,3-Dec-16,Universal Studios Singapore
KingMicky,4,3-Dec-16,Universal Studios Singapore
Rohit S,5,3-Dec-16,Universal Studios Singapore
yuricrona,4,3-Dec-16,Universal Studios Singapore
KyleMcFarlane,3,3-Dec-16,Universal Studios Singapore
Mayanne737,5,3-Dec-16,Universal Studios Singapore
khaer,3,2-Dec-16,Universal Studios Singapore
Jessica M,5,2-Dec-16,Universal Studios Singapore
Karthikeyan Subbiah,5,2-Dec-16,Universal Studios Singapore
gumbokins,5,2-Dec-16,Universal Studios Singapore
pjcot1,5,2-Dec-16,Universal Studios Singapore
_chamara_gunarathne,5,2-Dec-16,Universal Studios Singapore
yusuf_andry,3,1-Dec-16,Universal Studios Singapore
Sarah B,4,1-Dec-16,Universal Studios Singapore
Gerald K,3,1-Dec-16,Universal Studios Singapore
DrashtiSamkit,5,1-Dec-16,Universal Studios Singapore
ThornyToni,5,30-Nov-16,Universal Studios Singapore
Jacqueline L,3,29-Nov-16,Universal Studios Singapore
Michelle P,5,29-Nov-16,Universal Studios Singapore
Priscilla S,4,29-Nov-16,Universal Studios Singapore
soodmanu,4,29-Nov-16,Universal Studios Singapore
beth298,4,28-Nov-16,Universal Studios Singapore
kth79,4,28-Nov-16,Universal Studios Singapore
Sherpart,5,28-Nov-16,Universal Studios Singapore
Kristen L,4,28-Nov-16,Universal Studios Singapore
MD0n0van,5,28-Nov-16,Universal Studios Singapore
Addyleo,5,28-Nov-16,Universal Studios Singapore
Shail S,5,28-Nov-16,Universal Studios Singapore
dundeedi,3,28-Nov-16,Universal Studios Singapore
Eva I S,5,28-Nov-16,Universal Studios Singapore
sweet_mermaid,3,27-Nov-16,Universal Studios Singapore
jeannious48,5,27-Nov-16,Universal Studios Singapore
tripin_travel,4,27-Nov-16,Universal Studios Singapore
AFlyingHaggis,5,27-Nov-16,Universal Studios Singapore
Andreasaspt,3,27-Nov-16,Universal Studios Singapore
elizabetcl,5,27-Nov-16,Universal Studios Singapore
AshishMurjani,5,26-Nov-16,Universal Studios Singapore
itspriyanka,4,26-Nov-16,Universal Studios Singapore
Devika S,5,25-Nov-16,Universal Studios Singapore
Ramy B,5,25-Nov-16,Universal Studios Singapore
Rula A,3,25-Nov-16,Universal Studios Singapore
Linyep,4,24-Nov-16,Universal Studios Singapore
Johnny-Darko,4,24-Nov-16,Universal Studios Singapore
695871641,5,24-Nov-16,Universal Studios Singapore
shazeerazly,5,24-Nov-16,Universal Studios Singapore
ridhikh,5,24-Nov-16,Universal Studios Singapore
windawillianto,5,24-Nov-16,Universal Studios Singapore
gazza909,5,24-Nov-16,Universal Studios Singapore
Bastian F,5,24-Nov-16,Universal Studios Singapore
Scott D,5,23-Nov-16,Universal Studios Singapore
DheeAbigail,4,23-Nov-16,Universal Studios Singapore
JithKL,5,23-Nov-16,Universal Studios Singapore
Trusstytraveller,4,23-Nov-16,Universal Studios Singapore
Denise T,5,23-Nov-16,Universal Studios Singapore
db52570,5,23-Nov-16,Universal Studios Singapore
chris20150030,4,23-Nov-16,Universal Studios Singapore
Hop,2,23-Nov-16,Universal Studios Singapore
krishna c,5,22-Nov-16,Universal Studios Singapore
Andrew A,5,22-Nov-16,Universal Studios Singapore
Soelvesten,4,22-Nov-16,Universal Studios Singapore
531759969,5,22-Nov-16,Universal Studios Singapore
IndianTraveller03,4,22-Nov-16,Universal Studios Singapore
Sonica2012,5,22-Nov-16,Universal Studios Singapore
AshutoshMS,5,22-Nov-16,Universal Studios Singapore
Kurt L,4,22-Nov-16,Universal Studios Singapore
sappanin,4,22-Nov-16,Universal Studios Singapore
jagan,5,21-Nov-16,Universal Studios Singapore
AnakinVan,4,21-Nov-16,Universal Studios Singapore
Dannate,5,21-Nov-16,Universal Studios Singapore
Ju Y,4,21-Nov-16,Universal Studios Singapore
Jim & Donna Tricot,5,20-Nov-16,Universal Studios Singapore
venusTam1003,4,20-Nov-16,Universal Studios Singapore
525Justine,4,20-Nov-16,Universal Studios Singapore
